unique_id,a_hhid,resp_id.y,plot_id,district,pv_paddy,pv_visit_date,sc_manage_status,sc_manage_type,geometry,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sc_burn_change_any,burn_index
1105400921,10540092,105400921,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.2274220436811, 75.2274193614721, 75.2276366204023, 75.2278045937418, 75.2278662845492, 75.2278991416096, 75.2279008179903, 75.2278796955943, 75.2274220436811, 30.2154888784157, 30.2158374171007, 30.2158652306084, 30.2158640717124, 30.2158579875082, 30.2157067514541, 30.2155665247134, 30.2154964112681, 30.2154888784157))",0,0,0,0,0,0,0,NA,0
1105401091,10540109,105401091,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.21488673985, 75.2145631983876, 75.2150580659508, 75.2162972465157, 75.2163093164563, 75.21488673985, 30.2235359538141, 30.2240811703478, 30.224090440741, 30.2239878869682, 30.2235008999378, 30.2235359538141))",0,0,0,0,0,1,0,NA,1
1105401631,10540163,105401631,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.2317038550972, 75.2330023795366, 75.2330751344561, 75.2330553531646, 75.2323794364929, 75.232321768999, 75.2316746860742, 75.2317038550972, 30.201892878311, 30.2018439079907, 30.2007682933933, 30.1993455200388, 30.1993237870888, 30.2006584710907, 30.2006874479635, 30.201892878311))",0,1,1,0,0,0,0,NA,2
1105402101,10540210,105402101,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Used CRM machine,"list(c(75.2110987901687, 75.2099860087037, 75.2099742740392, 75.2095672488212, 75.2097184583544, 75.2099853381514, 75.2102699875831, 75.2107387036085, 75.2110763266682, 75.2110766619443, 75.2110987901687, 30.1950452002255, 30.195057371207, 30.1951842970672, 30.195220230386, 30.195376714041, 30.1956056433844, 30.1958873126816, 30.1958849944191, 30.1958815170252, 30.1956404174153, 30.1950452002255))",0,0,0,0,0,0,0,NA,0
1105402431,10540243,105402431,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Used CRM machine,"list(c(75.2163461968302, 75.2163193747401, 75.2172366902232, 75.2172718942165, 75.2176608145236, 75.2177000418305, 75.2163461968302, 30.2092430760717, 30.2099871345599, 30.2099859755946, 30.2100920208569, 30.2100540647789, 30.2086992260245, 30.2092430760717))",0,0,0,0,1,1,0,NA,2
1105402791,10540279,105402791,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.2072669193148, 75.2068625763058, 75.2065242826938, 75.2065598219633, 75.2066020667552, 75.2066024020314, 75.2066027373075, 75.2066101133823, 75.2071924880146, 75.2072669193148, 30.1997343941464, 30.1996984624751, 30.1997378714042, 30.2003469691702, 30.2008868086166, 30.201399407047, 30.2017882730412, 30.2022707313235, 30.2023185423758, 30.1997343941464))",0,0,0,0,0,0,0,NA,0
1105800331,10580033,105800331,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.3054458275437, 75.3057103604078, 75.3059326484799, 75.3060727939009, 75.3068218007683, 75.3075842186808, 75.3076254576444, 75.3074946999549, 75.3074149042367, 75.305586643517, 75.3054458275437, 30.3085123583144, 30.3085537497675, 30.3085470924021, 30.3085549075701, 30.3074222806092, 30.3075945055883, 30.3065481256293, 30.3066034118208, 30.3054661309542, 30.3054788671835, 30.3085123583144))",0,0,0,0,0,1,0,NA,1
1105800861,10580086,105800861,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(75.3132637962698, 75.3131645545363, 75.3140335902571, 75.3140309080481, 75.313724130392, 75.3136986494064, 75.3132637962698, 30.3148826735355, 30.3161940810064, 30.3161914761535, 30.3156733984813, 30.3156149336781, 30.315117113149, 30.3148826735355))",0,0,0,0,0,0,0,NA,0
1105801051,10580105,105801051,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Used CRM machine,"list(c(75.2978065609931, 75.2968791872262, 75.2968409657478, 75.2990256249904, 75.299032330513, 75.2978065609931, 30.3067733225914, 30.306534521169, 30.3072957891293, 30.3086758978696, 30.3074480420119, 30.3067733225914))",0,0,0,0,0,0,0,NA,0
1105801151,10580115,105801151,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.3064442798495, 75.3062799945473, 75.3062893822789, 75.3065555915236, 75.3065525740385, 75.3064449504017, 75.3064442798495, 30.3180215129527, 30.3180186187257, 30.3185609953735, 30.3185609953735, 30.3180880801503, 30.3180912637977, 30.3180215129527))",0,1,0,0,0,0,0,NA,1
